bar_code,Family,Genus,species,X,Y,value,variable_id
P946054,Sapotaceae,Micropholis,cayennensis,95,76,34.41507624249228,1
P946054,Sapotaceae,Micropholis,cayennensis,95,76,485.9450020122459,2
P946054,Sapotaceae,Micropholis,cayennensis,95,76,2.4320224297397166,3
P946054,Sapotaceae,Micropholis,cayennensis,95,76,0.015035171093489917,5
P946054,Sapotaceae,Micropholis,cayennensis,95,76,35.64957118779792,6
P946054,Sapotaceae,Micropholis,cayennensis,95,76,1.8060821218769985,7
P946054,Sapotaceae,Micropholis,cayennensis,95,76,-32.05654803014026,8
P946054,Sapotaceae,Micropholis,cayennensis,95,76,71.9446542734294,9
P946054,Sapotaceae,Micropholis,cayennensis,95,76,101.36357841422054,10
P946054,Sapotaceae,Micropholis,cayennensis,95,76,6.069876005173821,11
P758969,Sapotaceae,Micropholis,cayennensis,61,57,22.586867094332277,1
P758969,Sapotaceae,Micropholis,cayennensis,61,57,342.06006308081123,2
P758969,Sapotaceae,Micropholis,cayennensis,61,57,1.7769106642067758,3
P758969,Sapotaceae,Micropholis,cayennensis,61,57,0.01605619903066794,5
P758969,Sapotaceae,Micropholis,cayennensis,61,57,29.149191427982153,6
P758969,Sapotaceae,Micropholis,cayennensis,61,57,4.507446579407569,7
P758969,Sapotaceae,Micropholis,cayennensis,61,57,-30.44969391302229,8
P758969,Sapotaceae,Micropholis,cayennensis,61,57,86.54637655975228,9
P758969,Sapotaceae,Micropholis,cayennensis,61,57,102.42139553795235,10
P758969,Sapotaceae,Micropholis,cayennensis,61,57,6.9364438540516415,11
P592868,Sapotaceae,Micropholis,cayennensis,70,5,32.389525109203475,1
P592868,Sapotaceae,Micropholis,cayennensis,70,5,472.2466325223466,2
P592868,Sapotaceae,Micropholis,cayennensis,70,5,2.8716264454086455,3
P592868,Sapotaceae,Micropholis,cayennensis,70,5,0.014225544022369089,5
P592868,Sapotaceae,Micropholis,cayennensis,70,5,33.09548957857175,6
P592868,Sapotaceae,Micropholis,cayennensis,70,5,2.437910664912036,7
P592868,Sapotaceae,Micropholis,cayennensis,70,5,-31.789991740518925,8
P592868,Sapotaceae,Micropholis,cayennensis,70,5,108.07848460273736,9
P592868,Sapotaceae,Micropholis,cayennensis,70,5,128.72753718471697,10
P592868,Sapotaceae,Micropholis,cayennensis,70,5,5.019517902919879,11
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,54.65811554721526,1
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,483.03574890366724,2
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,2.9825386620275243,3
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,0.014533863583900864,5
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,35.2833269361495,6
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,0.7942688662146518,7
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,-30.386664932196844,8
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,87.98911564192234,9
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,125.21921834967347,10
P178976,Sapotaceae,Micropholis,cayennensis,44.5,82.5,3.9447332507764914,11
P911687,Sapotaceae,Micropholis,cayennensis,95,99,53.54182641596592,1
P911687,Sapotaceae,Micropholis,cayennensis,95,99,468.316417257836,2
P911687,Sapotaceae,Micropholis,cayennensis,95,99,2.837032321079898,3
P911687,Sapotaceae,Micropholis,cayennensis,95,99,0.015322942134435438,5
P911687,Sapotaceae,Micropholis,cayennensis,95,99,32.40891250963849,6
P911687,Sapotaceae,Micropholis,cayennensis,95,99,3.349540354851399,7
P911687,Sapotaceae,Micropholis,cayennensis,95,99,-31.680302657355302,8
P911687,Sapotaceae,Micropholis,cayennensis,95,99,84.44138050763682,9
P911687,Sapotaceae,Micropholis,cayennensis,95,99,168.840882022021,10
P911687,Sapotaceae,Micropholis,cayennensis,95,99,5.802246762371165,11
P850073,Sapotaceae,Micropholis,cayennensis,1,55,34.658588674057825,1
P850073,Sapotaceae,Micropholis,cayennensis,1,55,453.8025138240408,2
P850073,Sapotaceae,Micropholis,cayennensis,1,55,2.4013530618253576,3
P850073,Sapotaceae,Micropholis,cayennensis,1,55,0.01673959654847045,5
P850073,Sapotaceae,Micropholis,cayennensis,1,55,29.57733619459259,6
P850073,Sapotaceae,Micropholis,cayennensis,1,55,2.4247971540510127,7
P850073,Sapotaceae,Micropholis,cayennensis,1,55,-32.57594699271066,8
P850073,Sapotaceae,Micropholis,cayennensis,1,55,86.15646704324176,9
P850073,Sapotaceae,Micropholis,cayennensis,1,55,91.21421512317336,10
P850073,Sapotaceae,Micropholis,cayennensis,1,55,6.379467268313772,11
P544259,Sapotaceae,Micropholis,cayennensis,26,90,25.30852451647579,1
P544259,Sapotaceae,Micropholis,cayennensis,26,90,370.79994150654176,2
P544259,Sapotaceae,Micropholis,cayennensis,26,90,2.17661170762488,3
P544259,Sapotaceae,Micropholis,cayennensis,26,90,0.016350120056532934,5
P544259,Sapotaceae,Micropholis,cayennensis,26,90,31.585145662400517,6
P544259,Sapotaceae,Micropholis,cayennensis,26,90,2.3818758693800013,7
P544259,Sapotaceae,Micropholis,cayennensis,26,90,-32.30144177494536,8
P544259,Sapotaceae,Micropholis,cayennensis,26,90,82.78314677925522,9
P544259,Sapotaceae,Micropholis,cayennensis,26,90,77.02118687331085,10
P544259,Sapotaceae,Micropholis,cayennensis,26,90,6.71278169523168,11
P274501,Sapotaceae,Micropholis,cayennensis,9,79,38.73998408982265,1
P274501,Sapotaceae,Micropholis,cayennensis,9,79,459.4656736361626,2
P274501,Sapotaceae,Micropholis,cayennensis,9,79,2.6430742589597203,3
P274501,Sapotaceae,Micropholis,cayennensis,9,79,0.01454987225230054,5
P274501,Sapotaceae,Micropholis,cayennensis,9,79,35.20378163384528,6
P274501,Sapotaceae,Micropholis,cayennensis,9,79,3.0016426104352574,7
P274501,Sapotaceae,Micropholis,cayennensis,9,79,-30.755644208442543,8
P274501,Sapotaceae,Micropholis,cayennensis,9,79,82.91685242010992,9
P274501,Sapotaceae,Micropholis,cayennensis,9,79,105.84338614487976,10
P274501,Sapotaceae,Micropholis,cayennensis,9,79,5.1668349120482535,11
P672534,Sapotaceae,Micropholis,cayennensis,79,18,27.65870219263525,1
P672534,Sapotaceae,Micropholis,cayennensis,79,18,377.3307869512067,2
P672534,Sapotaceae,Micropholis,cayennensis,79,18,2.546414833884928,3
P672534,Sapotaceae,Micropholis,cayennensis,79,18,0.014956097274696918,5
P672534,Sapotaceae,Micropholis,cayennensis,79,18,34.08057936923857,6
P672534,Sapotaceae,Micropholis,cayennensis,79,18,4.085943986002324,7
P672534,Sapotaceae,Micropholis,cayennensis,79,18,-31.159815507344952,8
P672534,Sapotaceae,Micropholis,cayennensis,79,18,101.97380140007085,9
P672534,Sapotaceae,Micropholis,cayennensis,79,18,203.87313354547845,10
P672534,Sapotaceae,Micropholis,cayennensis,79,18,6.038632989634844,11
P635462,Sapotaceae,Micropholis,cayennensis,14,45,29.545461726233686,1
P635462,Sapotaceae,Micropholis,cayennensis,14,45,408.7575698665831,2
P635462,Sapotaceae,Micropholis,cayennensis,14,45,2.423585458148616,3
P635462,Sapotaceae,Micropholis,cayennensis,14,45,0.016157551623895948,5
P635462,Sapotaceae,Micropholis,cayennensis,14,45,29.63522096953767,6
P635462,Sapotaceae,Micropholis,cayennensis,14,45,2.826889111235257,7
P635462,Sapotaceae,Micropholis,cayennensis,14,45,-32.190007919646305,8
P635462,Sapotaceae,Micropholis,cayennensis,14,45,96.215975852581,9
P635462,Sapotaceae,Micropholis,cayennensis,14,45,114.18650975942349,10
P635462,Sapotaceae,Micropholis,cayennensis,14,45,6.252808006204003,11
P130397,Sapotaceae,Micropholis,cayennensis,98,5,28.327943221388686,1
P130397,Sapotaceae,Micropholis,cayennensis,98,5,455.6017234776721,2
P130397,Sapotaceae,Micropholis,cayennensis,98,5,2.0024459748998265,3
P130397,Sapotaceae,Micropholis,cayennensis,98,5,0.014647794312155972,5
P130397,Sapotaceae,Micropholis,cayennensis,98,5,35.41965410529306,6
P130397,Sapotaceae,Micropholis,cayennensis,98,5,1.685798696327157,7
P130397,Sapotaceae,Micropholis,cayennensis,98,5,-32.57797376616083,8
P130397,Sapotaceae,Micropholis,cayennensis,98,5,59.02046557619189,9
P130397,Sapotaceae,Micropholis,cayennensis,98,5,94.5535590965401,10
P130397,Sapotaceae,Micropholis,cayennensis,98,5,7.823268214118509,11
P253348,Sapotaceae,Micropholis,cayennensis,32,32,28.62384136495489,1
P253348,Sapotaceae,Micropholis,cayennensis,32,32,465.83728186065736,2
P253348,Sapotaceae,Micropholis,cayennensis,32,32,2.415710329706517,3
P253348,Sapotaceae,Micropholis,cayennensis,32,32,0.01415278791171098,5
P253348,Sapotaceae,Micropholis,cayennensis,32,32,36.87390129122744,6
P253348,Sapotaceae,Micropholis,cayennensis,32,32,1.0288137082817295,7
P253348,Sapotaceae,Micropholis,cayennensis,32,32,-31.849390754068196,8
P253348,Sapotaceae,Micropholis,cayennensis,32,32,76.74709278318893,9
P253348,Sapotaceae,Micropholis,cayennensis,32,32,84.46200359127774,10
P253348,Sapotaceae,Micropholis,cayennensis,32,32,5.3312624326395754,11
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,27.38165116869263,1
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,445.112310517933,2
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,2.5743180548796007,3
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,0.014100132375450599,5
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,34.83855237555103,6
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,3.396585912116262,7
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,-31.91302144260697,8
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,77.29047532947192,9
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,123.50826479454771,10
P603163,Sapotaceae,Micropholis,cayennensis,75,38.5,6.472420265508875,11
P717582,Sapotaceae,Micropholis,cayennensis,96,56,25.27295346360048,1
P717582,Sapotaceae,Micropholis,cayennensis,96,56,400.324678592606,2
P717582,Sapotaceae,Micropholis,cayennensis,96,56,2.2483408714289745,3
P717582,Sapotaceae,Micropholis,cayennensis,96,56,0.014550405402650289,5
P717582,Sapotaceae,Micropholis,cayennensis,96,56,34.434353386018046,6
P717582,Sapotaceae,Micropholis,cayennensis,96,56,0.6551811662384799,7
P717582,Sapotaceae,Micropholis,cayennensis,96,56,-32.33478834517286,8
P717582,Sapotaceae,Micropholis,cayennensis,96,56,114.36436412616554,9
P717582,Sapotaceae,Micropholis,cayennensis,96,56,136.44734044347265,10
P717582,Sapotaceae,Micropholis,cayennensis,96,56,6.134521262464248,11
P691899,Sapotaceae,Micropholis,cayennensis,94,3,42.03831446054361,1
P691899,Sapotaceae,Micropholis,cayennensis,94,3,507.4695545948955,2
P691899,Sapotaceae,Micropholis,cayennensis,94,3,3.297782365671554,3
P691899,Sapotaceae,Micropholis,cayennensis,94,3,0.013333898685255129,5
P691899,Sapotaceae,Micropholis,cayennensis,94,3,35.2390014728049,6
P691899,Sapotaceae,Micropholis,cayennensis,94,3,3.33312343441773,7
P691899,Sapotaceae,Micropholis,cayennensis,94,3,-32.60215556141247,8
P691899,Sapotaceae,Micropholis,cayennensis,94,3,87.23632209578517,9
P691899,Sapotaceae,Micropholis,cayennensis,94,3,201.4802213895231,10
P691899,Sapotaceae,Micropholis,cayennensis,94,3,5.639971376698952,11
P729515,Sapotaceae,Micropholis,cayennensis,81,26,27.285494268966062,1
P729515,Sapotaceae,Micropholis,cayennensis,81,26,412.3601458113278,2
P729515,Sapotaceae,Micropholis,cayennensis,81,26,2.61531369059439,3
P729515,Sapotaceae,Micropholis,cayennensis,81,26,0.015195436520414269,5
P729515,Sapotaceae,Micropholis,cayennensis,81,26,31.461260994443162,6
P729515,Sapotaceae,Micropholis,cayennensis,81,26,2.089446216345545,7
P729515,Sapotaceae,Micropholis,cayennensis,81,26,-32.81380081228316,8
P729515,Sapotaceae,Micropholis,cayennensis,81,26,92.19325632870077,9
P729515,Sapotaceae,Micropholis,cayennensis,81,26,76.71509947659668,10
P729515,Sapotaceae,Micropholis,cayennensis,81,26,6.606361878834711,11
P834104,Sapotaceae,Micropholis,cayennensis,62,69,22.076285189791026,1
P834104,Sapotaceae,Micropholis,cayennensis,62,69,460.11112135681094,2
P834104,Sapotaceae,Micropholis,cayennensis,62,69,1.942554817379627,3
P834104,Sapotaceae,Micropholis,cayennensis,62,69,0.013372253275971593,5
P834104,Sapotaceae,Micropholis,cayennensis,62,69,41.062151858560426,6
P834104,Sapotaceae,Micropholis,cayennensis,62,69,1.4094995627648914,7
P834104,Sapotaceae,Micropholis,cayennensis,62,69,-31.901686171591752,8
P834104,Sapotaceae,Micropholis,cayennensis,62,69,71.49527150018272,9
P834104,Sapotaceae,Micropholis,cayennensis,62,69,99.25791558444847,10
P834104,Sapotaceae,Micropholis,cayennensis,62,69,6.117950524482181,11
P523904,Sapotaceae,Micropholis,cayennensis,3,48,47.245816374357716,1
P523904,Sapotaceae,Micropholis,cayennensis,3,48,486.278202553897,2
P523904,Sapotaceae,Micropholis,cayennensis,3,48,3.220173904744683,3
P523904,Sapotaceae,Micropholis,cayennensis,3,48,0.014994147024564655,5
P523904,Sapotaceae,Micropholis,cayennensis,3,48,32.24817669986059,6
P523904,Sapotaceae,Micropholis,cayennensis,3,48,2.3555269990144745,7
P523904,Sapotaceae,Micropholis,cayennensis,3,48,-32.75338825349319,8
P523904,Sapotaceae,Micropholis,cayennensis,3,48,99.10613928972334,9
P523904,Sapotaceae,Micropholis,cayennensis,3,48,78.32038272116452,10
P523904,Sapotaceae,Micropholis,cayennensis,3,48,5.67387565896372,11
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,27.661306781396917,1
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,416.3500769970717,2
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,2.221718681699785,3
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,0.01405900193497432,5
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,34.642220121417736,6
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,3.170670728637068,7
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,-31.64361635974728,8
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,85.57175406353971,9
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,158.55564340407943,10
P815529,Sapotaceae,Micropholis,cayennensis,56.5,73.5,6.531029440437481,11
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,51.51907207045173,1
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,549.8315566300134,2
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,2.4991470930912487,3
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,0.01473855462607826,5
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,35.73947863790731,6
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,-0.32183047658360486,7
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,-30.706457169970175,8
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,90.61846267631894,9
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,65.64795923366354,10
P320667,Sapotaceae,Micropholis,cayennensis,73,45.5,4.223030125271052,11
P424654,Sapotaceae,Micropholis,cayennensis,76,71,23.66900404722847,1
P424654,Sapotaceae,Micropholis,cayennensis,76,71,382.6644292495416,2
P424654,Sapotaceae,Micropholis,cayennensis,76,71,1.933284095647134,3
P424654,Sapotaceae,Micropholis,cayennensis,76,71,0.01614569974783441,5
P424654,Sapotaceae,Micropholis,cayennensis,76,71,33.29141355773032,6
P424654,Sapotaceae,Micropholis,cayennensis,76,71,2.7087991199138486,7
P424654,Sapotaceae,Micropholis,cayennensis,76,71,-31.416489257385166,8
P424654,Sapotaceae,Micropholis,cayennensis,76,71,68.68271538445867,9
P424654,Sapotaceae,Micropholis,cayennensis,76,71,96.50836177908029,10
P424654,Sapotaceae,Micropholis,cayennensis,76,71,6.94298854705501,11
P137480,Sapotaceae,Micropholis,cayennensis,29,42,48.691297974643255,1
P137480,Sapotaceae,Micropholis,cayennensis,29,42,443.77967918565787,2
P137480,Sapotaceae,Micropholis,cayennensis,29,42,2.6472281981122765,3
P137480,Sapotaceae,Micropholis,cayennensis,29,42,0.015502232013670474,5
P137480,Sapotaceae,Micropholis,cayennensis,29,42,29.155692678978863,6
P137480,Sapotaceae,Micropholis,cayennensis,29,42,5.305737259353746,7
P137480,Sapotaceae,Micropholis,cayennensis,29,42,-31.064426081297288,8
P137480,Sapotaceae,Micropholis,cayennensis,29,42,111.87039803054631,9
P137480,Sapotaceae,Micropholis,cayennensis,29,42,158.66853759400277,10
P137480,Sapotaceae,Micropholis,cayennensis,29,42,6.265998739338642,11
P549915,Sapotaceae,Micropholis,cayennensis,40,54,17.012739751258724,1
P549915,Sapotaceae,Micropholis,cayennensis,40,54,346.67221718893956,2
P549915,Sapotaceae,Micropholis,cayennensis,40,54,2.2333237855048873,3
P549915,Sapotaceae,Micropholis,cayennensis,40,54,0.015619271208876497,5
P549915,Sapotaceae,Micropholis,cayennensis,40,54,30.78710331430577,6
P549915,Sapotaceae,Micropholis,cayennensis,40,54,4.416462280144931,7
P549915,Sapotaceae,Micropholis,cayennensis,40,54,-32.560631982491444,8
P549915,Sapotaceae,Micropholis,cayennensis,40,54,80.63872745746792,9
P549915,Sapotaceae,Micropholis,cayennensis,40,54,95.8899659706446,10
P549915,Sapotaceae,Micropholis,cayennensis,40,54,7.916428277822943,11
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,17.56629770503571,1
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,363.8339251651353,2
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,1.8566452210667723,3
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,0.015071335156507755,5
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,36.751472572312515,6
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,2.4733134990565193,7
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,-31.345618003548445,8
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,65.3360870298594,9
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,82.21506939737702,10
P405975,Sapotaceae,Micropholis,cayennensis,22.5,1,6.56121049680298,11
P187043,Sapotaceae,Micropholis,cayennensis,85,49,54.1665478876434,1
P187043,Sapotaceae,Micropholis,cayennensis,85,49,509.1018374490144,2
P187043,Sapotaceae,Micropholis,cayennensis,85,49,3.048463681743975,3
P187043,Sapotaceae,Micropholis,cayennensis,85,49,0.014651882671071384,5
P187043,Sapotaceae,Micropholis,cayennensis,85,49,35.08163272051521,6
P187043,Sapotaceae,Micropholis,cayennensis,85,49,0.49132565044191856,7
P187043,Sapotaceae,Micropholis,cayennensis,85,49,-31.62827855812109,8
P187043,Sapotaceae,Micropholis,cayennensis,85,49,91.18302105984534,9
P187043,Sapotaceae,Micropholis,cayennensis,85,49,98.96979785066198,10
P187043,Sapotaceae,Micropholis,cayennensis,85,49,4.480041953525598,11
P114336,Sapotaceae,Micropholis,cayennensis,57,42,80.95935995172108,1
P114336,Sapotaceae,Micropholis,cayennensis,57,42,487.2837476366161,2
P114336,Sapotaceae,Micropholis,cayennensis,57,42,3.607148243122645,3
P114336,Sapotaceae,Micropholis,cayennensis,57,42,0.016974010573199954,5
P114336,Sapotaceae,Micropholis,cayennensis,57,42,28.723327695938167,6
P114336,Sapotaceae,Micropholis,cayennensis,57,42,3.185522363924955,7
P114336,Sapotaceae,Micropholis,cayennensis,57,42,-31.424826909072557,8
P114336,Sapotaceae,Micropholis,cayennensis,57,42,114.65266173350305,9
P114336,Sapotaceae,Micropholis,cayennensis,57,42,146.04078680989133,10
P114336,Sapotaceae,Micropholis,cayennensis,57,42,4.515443617084487,11
P376785,Sapotaceae,Micropholis,cayennensis,75,24,25.586028614767788,1
P376785,Sapotaceae,Micropholis,cayennensis,75,24,375.6340049318809,2
P376785,Sapotaceae,Micropholis,cayennensis,75,24,2.242220075054647,3
P376785,Sapotaceae,Micropholis,cayennensis,75,24,0.017108876989360047,5
P376785,Sapotaceae,Micropholis,cayennensis,75,24,29.60513070113422,6
P376785,Sapotaceae,Micropholis,cayennensis,75,24,2.9994868061968023,7
P376785,Sapotaceae,Micropholis,cayennensis,75,24,-32.04526375319961,8
P376785,Sapotaceae,Micropholis,cayennensis,75,24,72.83003406178014,9
P376785,Sapotaceae,Micropholis,cayennensis,75,24,65.39335942715152,10
P376785,Sapotaceae,Micropholis,cayennensis,75,24,6.8652154595649915,11
P816830,Sapotaceae,Micropholis,cayennensis,61,70,12.108967037755262,1
P816830,Sapotaceae,Micropholis,cayennensis,61,70,364.2002083461019,2
P816830,Sapotaceae,Micropholis,cayennensis,61,70,2.0130519098533814,3
P816830,Sapotaceae,Micropholis,cayennensis,61,70,0.013612409420203574,5
P816830,Sapotaceae,Micropholis,cayennensis,61,70,32.947622216440635,6
P816830,Sapotaceae,Micropholis,cayennensis,61,70,4.489942982205852,7
P816830,Sapotaceae,Micropholis,cayennensis,61,70,-33.2350701478204,8
P816830,Sapotaceae,Micropholis,cayennensis,61,70,90.12981580057733,9
P816830,Sapotaceae,Micropholis,cayennensis,61,70,222.7506090398801,10
P816830,Sapotaceae,Micropholis,cayennensis,61,70,8.947217760024532,11
P446819,Sapotaceae,Micropholis,cayennensis,46,27,52.72483847511561,1
P446819,Sapotaceae,Micropholis,cayennensis,46,27,524.5340822286917,2
P446819,Sapotaceae,Micropholis,cayennensis,46,27,3.0285341316362313,3
P446819,Sapotaceae,Micropholis,cayennensis,46,27,0.013509816749097705,5
P446819,Sapotaceae,Micropholis,cayennensis,46,27,36.049734291741856,6
P446819,Sapotaceae,Micropholis,cayennensis,46,27,2.3260820808030442,7
P446819,Sapotaceae,Micropholis,cayennensis,46,27,-31.359669282854664,8
P446819,Sapotaceae,Micropholis,cayennensis,46,27,93.08620990948411,9
P446819,Sapotaceae,Micropholis,cayennensis,46,27,156.1058674802955,10
P446819,Sapotaceae,Micropholis,cayennensis,46,27,4.828800507711558,11
P210296,Sapotaceae,Micropholis,cayennensis,51,52,29.05739910314912,1
P210296,Sapotaceae,Micropholis,cayennensis,51,52,359.30357796320953,2
P210296,Sapotaceae,Micropholis,cayennensis,51,52,2.3528388208233544,3
P210296,Sapotaceae,Micropholis,cayennensis,51,52,0.016702731375735243,5
P210296,Sapotaceae,Micropholis,cayennensis,51,52,28.615339852522748,6
P210296,Sapotaceae,Micropholis,cayennensis,51,52,2.9826935460545587,7
P210296,Sapotaceae,Micropholis,cayennensis,51,52,-31.9133116496632,8
P210296,Sapotaceae,Micropholis,cayennensis,51,52,84.86958605589118,9
P210296,Sapotaceae,Micropholis,cayennensis,51,52,107.51991711275586,10
P210296,Sapotaceae,Micropholis,cayennensis,51,52,6.98287169638662,11
P304775,Sapotaceae,Micropholis,cayennensis,32,0,42.09408983877904,1
P304775,Sapotaceae,Micropholis,cayennensis,32,0,446.0958114392123,2
P304775,Sapotaceae,Micropholis,cayennensis,32,0,2.560212090428782,3
P304775,Sapotaceae,Micropholis,cayennensis,32,0,0.015718654726200484,5
P304775,Sapotaceae,Micropholis,cayennensis,32,0,33.315988456977465,6
P304775,Sapotaceae,Micropholis,cayennensis,32,0,2.2209796716337116,7
P304775,Sapotaceae,Micropholis,cayennensis,32,0,-31.896400226377125,8
P304775,Sapotaceae,Micropholis,cayennensis,32,0,74.32038921278938,9
P304775,Sapotaceae,Micropholis,cayennensis,32,0,99.19493273437857,10
P304775,Sapotaceae,Micropholis,cayennensis,32,0,5.893249080328952,11
